agents,solveIndModel,solveNN,solveDynamic,solveStaticOverlap,solveStaticNonOverlap,solveStaticNoPool,solveGreedyDynamic,maxUtil
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.236328125,0.234375,0.50390625,0.5,0.5,0.5,0.50390625,0.625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.283203125,0.5625,0.69140625,0.6875,0.6875,0.6875,0.69140625,0.8125
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.353515625,0.703125,0.87890625,0.875,0.875,0.875,0.87890625,1.0
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.3505859375,0.75,0.87890625,0.875,0.875,0.875,0.87890625,1.0
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.3974609375,0.84375,1.06640625,1.0625,1.0625,1.0625,1.06640625,1.1875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.44140625,0.984375,1.25390625,1.25,1.25,1.25,1.25390625,1.375
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.75, 0.25), (4, 0.75, 0.25)]",0.28515625,0.375,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.75, 0.25), (4, 0.25, 0.5)]",0.2734375,0.0,0.5,0.5,0.5,0.5,0.5,0.625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.75, 0.25), (4, 0.5, 0.5)]",0.3046875,0.25,0.625,0.625,0.625,0.625,0.625,0.75
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.75, 0.25), (4, 0.75, 0.5)]",0.3359375,0.375,0.75,0.75,0.75,0.75,0.75,0.875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.75, 0.25), (4, 0.25, 0.75)]",0.29296875,0.0,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.75, 0.25), (4, 0.5, 0.75)]",0.33984375,0.0,0.75,0.75,0.75,0.75,0.75,0.875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.75, 0.25), (4, 0.75, 0.75)]",0.38671875,0.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.25, 0.5), (4, 0.25, 0.5)]",0.2734375,0.0,0.4375,0.4375,0.4375,0.4375,0.4375,0.5625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.25, 0.5), (4, 0.5, 0.5)]",0.3046875,0.25,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.25, 0.5), (4, 0.75, 0.5)]",0.3359375,0.375,0.6875,0.6875,0.6875,0.6875,0.6875,0.8125
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.25, 0.5), (4, 0.25, 0.75)]",0.29296875,0.0,0.5,0.5,0.5,0.5,0.5,0.625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.25, 0.5), (4, 0.5, 0.75)]",0.33984375,0.0,0.6875,0.6875,0.6875,0.6875,0.6875,0.8125
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.25, 0.5), (4, 0.75, 0.75)]",0.38671875,0.5625,0.875,0.875,0.875,0.875,0.875,1.0
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.5, 0.5), (4, 0.5, 0.5)]",0.33203125,0.25,0.6875,0.6875,0.6875,0.6875,0.6875,0.8125
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.5, 0.5), (4, 0.75, 0.5)]",0.36328125,0.375,0.8125,0.8125,0.8125,0.8125,0.8125,0.9375
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.5, 0.5), (4, 0.25, 0.75)]",0.322265625,0.0,0.625,0.625,0.625,0.625,0.625,0.75
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.5, 0.5), (4, 0.5, 0.75)]",0.369140625,0.0,0.8125,0.8125,0.8125,0.8125,0.8125,0.9375
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.5, 0.5), (4, 0.75, 0.75)]",0.416015625,0.0,1.0,1.0,1.0,1.0,1.0,1.125
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.390625,0.375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.3515625,0.0,0.75,0.75,0.75,0.75,0.75,0.875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.3984375,0.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.4453125,0.5625,1.125,1.125,1.125,1.125,1.125,1.25
