agents,solveIndModel,solveNN,solveDynamic,solveStaticOverlap,solveStaticNonOverlap,solveStaticNoPool,solveGreedyDynamic,maxUtil
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.6640625,0.375,1.03125,1.03125,1.0,1.0,1.03125,1.4375
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.7578125,0.5625,1.21875,1.1875,1.1875,1.1875,1.21875,1.625
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.5390625,0.0,0.78125,0.78125,0.78125,0.6875,0.78125,1.0625
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.6328125,0.375,0.921875,0.921875,0.921875,0.875,0.921875,1.25
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.7421875,0.75,1.1015625,1.09375,1.09375,1.0625,1.1015625,1.4375
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.712890625,0.65625,1.078125,1.0625,1.0625,1.0,1.078125,1.4375
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.806640625,0.84375,1.265625,1.21875,1.203125,1.1875,1.265625,1.625
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.87109375,0.984375,1.453125,1.375,1.375,1.375,1.453125,1.8125
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.765625,0.0,1.125,1.125,1.125,1.125,1.125,1.5625
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.6640625,0.0,1.03125,1.03125,1.03125,1.0,1.03125,1.375
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.7890625,0.375,1.125,1.125,1.125,1.125,1.125,1.5625
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.8828125,0.5625,1.3125,1.3125,1.3125,1.3125,1.3125,1.75
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.6640625,0.0,0.90625,0.90625,0.90625,0.8125,0.90625,1.1875
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.7578125,0.375,1.046875,1.046875,1.046875,1.0,1.046875,1.375
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.8671875,0.5625,1.21875,1.21875,1.21875,1.1875,1.21875,1.5625
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.775390625,0.65625,1.1953125,1.1875,1.1875,1.125,1.1953125,1.5625
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.931640625,0.84375,1.3828125,1.3359375,1.328125,1.3125,1.3828125,1.75
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.99609375,0.984375,1.546875,1.5,1.5,1.5,1.546875,1.9375
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.5751953125,0.0,0.75390625,0.75390625,0.75390625,0.625,0.75390625,1.0
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.6806640625,0.375,0.9228515625,0.90625,0.90625,0.8125,0.9228515625,1.1875
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.7470703125,0.5625,1.1103515625,1.09375,1.09375,1.0,1.1103515625,1.375
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.25, 0.75), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.8056640625,0.75,1.078125,1.046875,1.046875,1.0,1.078125,1.375
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.25, 0.75), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.9111328125,0.84375,1.265625,1.234375,1.234375,1.1875,1.265625,1.5625
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.25, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.884765625,0.984375,1.44140625,1.40625,1.40625,1.375,1.44140625,1.75
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.75), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.8505859375,0.945010859073359,1.22314453125,1.1875,1.1875,1.125,1.22314453125,1.5625
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.75), (3, 0.5, 0.75), (4, 0.75, 0.75)]",1.0224609375,0.84375,1.41064453125,1.375,1.375,1.3125,1.41064453125,1.75
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",1.072265625,1.2490649131274132,1.58642578125,1.5234375,1.515625,1.5,1.58642578125,1.9375
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",1.259765625,1.4175162886100385,1.76220703125,1.6875,1.6875,1.6875,1.76220703125,2.125
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.796875,0.0,1.125,1.125,1.125,1.125,1.125,1.6875
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.7265625,0.0,1.125,1.125,1.125,1.125,1.125,1.5
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.8203125,0.375,1.21875,1.21875,1.21875,1.125,1.21875,1.6875
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.9140625,0.5625,1.359375,1.359375,1.3125,1.3125,1.359375,1.875
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.7265625,0.0,1.03125,1.03125,1.03125,0.9375,1.03125,1.3125
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.8203125,0.375,1.171875,1.171875,1.171875,1.125,1.171875,1.5
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.9140625,0.5625,1.3125,1.3125,1.3125,1.3125,1.3125,1.6875
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.75, 0.5), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.837890625,0.75,1.3125,1.3125,1.3125,1.125,1.3125,1.6875
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.75, 0.5), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.978515625,0.5625,1.453125,1.453125,1.453125,1.3125,1.453125,1.875
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.75), (4, 0.75, 0.75)]",1.04296875,0.984375,1.6171875,1.59375,1.59375,1.5,1.6171875,2.0625
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.6298828125,0.0,0.87890625,0.87890625,0.87890625,0.75,0.87890625,1.125
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.7353515625,0.375,1.0400390625,1.03125,1.03125,0.9375,1.0400390625,1.3125
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.7705078125,0.5625,1.2275390625,1.21875,1.21875,1.125,1.2275390625,1.5
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.25, 0.75), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.8759765625,0.75,1.171875,1.171875,1.171875,1.125,1.171875,1.5
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.25, 0.75), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.9345703125,0.84375,1.359375,1.359375,1.359375,1.3125,1.359375,1.6875
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.25, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.908203125,0.984375,1.51171875,1.5,1.5,1.5,1.51171875,1.875
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.5, 0.75), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.8818359375,0.375,1.3125,1.3125,1.3125,1.125,1.3125,1.6875
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.5, 0.75), (3, 0.5, 0.75), (4, 0.75, 0.75)]",1.0458984375,0.5625,1.5,1.5,1.5,1.3125,1.5,1.875
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.5, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",1.095703125,0.984375,1.669921875,1.640625,1.640625,1.5,1.669921875,2.0625
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.75, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",1.236328125,1.2285684121621623,1.828125,1.78125,1.78125,1.6875,1.828125,2.25
"[(0, 0.75, 0.25), (1, 0.25, 0.75), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.48046875,0.0,0.75,0.75,0.75,0.5625,0.75,0.9375
"[(0, 0.75, 0.25), (1, 0.25, 0.75), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.62109375,0.375,0.9111328125,0.890625,0.890625,0.75,0.9111328125,1.125
"[(0, 0.75, 0.25), (1, 0.25, 0.75), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.78515625,0.5625,1.0986328125,1.06640625,1.06640625,0.9375,1.0986328125,1.3125
"[(0, 0.75, 0.25), (1, 0.25, 0.75), (2, 0.25, 0.75), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.7060546875,0.85546875,1.078125,1.03125,1.03125,0.9375,1.078125,1.3125
"[(0, 0.75, 0.25), (1, 0.25, 0.75), (2, 0.25, 0.75), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.8466796875,0.94921875,1.265625,1.21875,1.21875,1.125,1.265625,1.5
"[(0, 0.75, 0.25), (1, 0.25, 0.75), (2, 0.25, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.908203125,1.08984375,1.44140625,1.40625,1.40625,1.3125,1.44140625,1.6875
"[(0, 0.75, 0.25), (1, 0.25, 0.75), (2, 0.5, 0.75), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.8935546875,0.6328125,1.225341796875,1.171875,1.171875,1.125,1.225341796875,1.5
"[(0, 0.75, 0.25), (1, 0.25, 0.75), (2, 0.5, 0.75), (3, 0.5, 0.75), (4, 0.75, 0.75)]",1.0341796875,0.94921875,1.412841796875,1.359375,1.359375,1.3125,1.412841796875,1.6875
"[(0, 0.75, 0.25), (1, 0.25, 0.75), (2, 0.5, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",1.095703125,1.3281664756274132,1.588623046875,1.546875,1.546875,1.5,1.588623046875,1.875
"[(0, 0.75, 0.25), (1, 0.25, 0.75), (2, 0.75, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",1.283203125,1.1953125,1.755615234375,1.6875,1.6875,1.6875,1.755615234375,2.0625
"[(0, 0.75, 0.25), (1, 0.5, 0.75), (2, 0.5, 0.75), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.8818359375,0.5625,1.348388671875,1.3125,1.3125,1.125,1.348388671875,1.6875
"[(0, 0.75, 0.25), (1, 0.5, 0.75), (2, 0.5, 0.75), (3, 0.5, 0.75), (4, 0.75, 0.75)]",1.0693359375,0.84375,1.535888671875,1.5,1.5,1.3125,1.535888671875,1.875
"[(0, 0.75, 0.25), (1, 0.5, 0.75), (2, 0.5, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",1.130859375,1.125,1.702880859375,1.6875,1.6875,1.5,1.702880859375,2.0625
"[(0, 0.75, 0.25), (1, 0.5, 0.75), (2, 0.75, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",1.318359375,1.1953125,1.861083984375,1.828125,1.828125,1.6875,1.861083984375,2.25
"[(0, 0.75, 0.25), (1, 0.75, 0.75), (2, 0.75, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",1.283203125,0.94921875,2.0126953125,1.96875,1.96875,1.6875,2.0126953125,2.4375
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.25, 0.5)]",0.28125,0.0,0.375,0.375,0.375,0.375,0.375,0.625
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.5, 0.5)]",0.34375,0.0,0.5,0.5,0.5,0.5,0.5,0.75
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.75, 0.5)]",0.40625,0.0,0.625,0.625,0.625,0.625,0.625,0.875
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.25, 0.75)]",0.328125,0.1875,0.453125,0.453125,0.4375,0.4375,0.453125,0.6875
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.5, 0.75)]",0.421875,0.375,0.640625,0.625,0.625,0.625,0.640625,0.875
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.75, 0.75)]",0.515625,0.5625,0.828125,0.8125,0.8125,0.8125,0.828125,1.0625
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.5)]",0.390625,0.0,0.625,0.625,0.625,0.625,0.625,0.875
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.5)]",0.453125,0.0,0.75,0.75,0.75,0.75,0.75,1.0
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.25, 0.75)]",0.3828125,0.1875,0.578125,0.578125,0.5625,0.5625,0.578125,0.8125
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.75)]",0.4765625,0.375,0.765625,0.75,0.75,0.75,0.765625,1.0
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.75)]",0.5703125,0.5625,0.953125,0.9375,0.9375,0.9375,0.953125,1.1875
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.5,0.0,0.875,0.875,0.875,0.875,0.875,1.125
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.4375,0.28125,0.703125,0.703125,0.6875,0.6875,0.703125,0.9375
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.53125,0.375,0.890625,0.875,0.875,0.875,0.890625,1.125
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.625,0.5625,1.078125,1.0625,1.0625,1.0625,1.078125,1.3125
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.3828125,0.375,0.5390625,0.53125,0.53125,0.5,0.5390625,0.75
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.4765625,0.5859375,0.7265625,0.703125,0.6875,0.6875,0.7265625,0.9375
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.5703125,0.7734375,0.9140625,0.890625,0.875,0.875,0.9140625,1.125
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.55859375,0.7265625,0.9140625,0.875,0.875,0.875,0.9140625,1.125
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.65234375,0.84375,1.1015625,1.0625,1.0625,1.0625,1.1015625,1.3125
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.734375,0.984375,1.2890625,1.25,1.25,1.25,1.2890625,1.5
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.5)]",0.515625,0.0,0.75,0.75,0.75,0.75,0.75,1.0
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.5)]",0.578125,0.0,0.875,0.875,0.875,0.875,0.875,1.125
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.25, 0.75)]",0.5078125,0.1875,0.6875,0.6875,0.6875,0.6875,0.6875,0.9375
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.75)]",0.6015625,0.375,0.875,0.875,0.875,0.875,0.875,1.125
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.75)]",0.6953125,0.5625,1.0625,1.0625,1.0625,1.0625,1.0625,1.3125
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.625,0.0,1.0,1.0,1.0,1.0,1.0,1.25
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.5625,0.0,0.8125,0.8125,0.8125,0.8125,0.8125,1.0625
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.65625,0.375,1.0,1.0,1.0,1.0,1.0,1.25
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.75,0.5625,1.1875,1.1875,1.1875,1.1875,1.1875,1.4375
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.4765625,0.0,0.65625,0.65625,0.65625,0.625,0.65625,0.875
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.5703125,0.375,0.84375,0.8125,0.8125,0.8125,0.84375,1.0625
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.6953125,0.5625,1.03125,1.0,1.0,1.0,1.03125,1.25
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.68359375,0.65625,1.0078125,1.0,1.0,1.0,1.0078125,1.25
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.77734375,0.84375,1.1953125,1.1875,1.1875,1.1875,1.1953125,1.4375
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.859375,1.125,1.3828125,1.375,1.375,1.375,1.3828125,1.625
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.75,0.75,1.125,1.125,1.125,1.125,1.125,1.375
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.625,0.375,0.9375,0.9375,0.9375,0.9375,0.9375,1.1875
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.78125,0.65625,1.125,1.125,1.125,1.125,1.125,1.375
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.875,0.5625,1.3125,1.3125,1.3125,1.3125,1.3125,1.5625
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.6015625,0.375,0.78125,0.78125,0.78125,0.75,0.78125,1.0
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.6953125,0.65625,0.9609375,0.9375,0.9375,0.9375,0.9609375,1.1875
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.8203125,0.5625,1.1484375,1.125,1.125,1.125,1.1484375,1.375
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.73046875,0.65625,1.125,1.125,1.125,1.125,1.125,1.375
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.90234375,0.84375,1.3125,1.3125,1.3125,1.3125,1.3125,1.5625
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.984375,0.984375,1.5,1.5,1.5,1.5,1.5,1.75
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.46484375,0.1875,0.6181640625,0.609375,0.59375,0.5625,0.6181640625,0.8125
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.62109375,0.515625,0.8056640625,0.78125,0.78125,0.75,0.8056640625,1.0
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.697265625,0.703125,0.9931640625,0.96875,0.96875,0.9375,0.9931640625,1.1875
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.75), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.697265625,0.65625,0.9814453125,0.9375,0.9375,0.9375,0.9814453125,1.1875
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.75), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.837890625,0.84375,1.1689453125,1.125,1.125,1.125,1.1689453125,1.375
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.9140625,0.984375,1.3447265625,1.3125,1.3125,1.3125,1.3447265625,1.5625
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.5, 0.75), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.884765625,0.9375,1.1572265625,1.125,1.125,1.125,1.1572265625,1.375
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.5, 0.75), (3, 0.5, 0.75), (4, 0.75, 0.75)]",1.025390625,0.84375,1.3447265625,1.3125,1.3125,1.3125,1.3447265625,1.5625
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.5, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",1.1015625,1.2490649131274132,1.5205078125,1.5,1.5,1.5,1.5205078125,1.75
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.75, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",1.2890625,0.94921875,1.6962890625,1.6875,1.6875,1.6875,1.6962890625,1.9375
"[(0, 0.25, 0.5), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.5)]",0.546875,0.0,0.75,0.75,0.75,0.75,0.75,1.125
"[(0, 0.25, 0.5), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.5)]",0.609375,0.0,0.875,0.875,0.875,0.875,0.875,1.25
"[(0, 0.25, 0.5), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.25, 0.75)]",0.5390625,0.0,0.78125,0.78125,0.78125,0.75,0.78125,1.0625
"[(0, 0.25, 0.5), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.75)]",0.6328125,0.375,0.90625,0.90625,0.875,0.875,0.90625,1.25
"[(0, 0.25, 0.5), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.75)]",0.7265625,0.5625,1.09375,1.0625,1.0625,1.0625,1.09375,1.4375
"[(0, 0.25, 0.5), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.65625,0.0,1.0,1.0,1.0,1.0,1.0,1.375
"[(0, 0.25, 0.5), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.5625,0.0,0.90625,0.90625,0.90625,0.875,0.90625,1.1875
"[(0, 0.25, 0.5), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.6875,0.375,1.03125,1.03125,1.0,1.0,1.03125,1.375
