agents,solveIndModel,solveDynamic,solveStaticOverlap,solveStaticNonOverlap,solveStaticNoPool,solveGreedyDynamic,maxUtil,solveNN
"[(0, 0.75, 0.25), (1, 0.25, 0.75), (2, 0.5, 0.75)]",0.55078125,0.62109375,0.609375,0.609375,0.5625,0.62109375,0.75,0.515625
"[(0, 0.75, 0.25), (1, 0.25, 0.75), (2, 0.75, 0.75)]",0.65625,0.80859375,0.75,0.75,0.75,0.80859375,0.9375,0.80859375
"[(0, 0.75, 0.25), (1, 0.5, 0.75), (2, 0.5, 0.75)]",0.703125,0.76171875,0.75,0.75,0.75,0.76171875,0.9375,0.65625
"[(0, 0.75, 0.25), (1, 0.5, 0.75), (2, 0.75, 0.75)]",0.80859375,0.94921875,0.9375,0.9375,0.9375,0.94921875,1.125,0.94921875
"[(0, 0.75, 0.25), (1, 0.75, 0.75), (2, 0.75, 0.75)]",0.328125,1.125,1.125,1.125,1.125,1.125,1.3125,0.984375
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5)]",0.21875,0.25,0.25,0.25,0.25,0.25,0.375,0.25
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.5, 0.5)]",0.3125,0.375,0.375,0.375,0.375,0.375,0.5,0.25
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.75, 0.5)]",0.375,0.5,0.5,0.5,0.5,0.5,0.625,0.375
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.75)]",0.328125,0.328125,0.328125,0.3125,0.3125,0.328125,0.4375,0.1875
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.5, 0.75)]",0.46875,0.515625,0.5,0.5,0.5,0.515625,0.625,0.375
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.75, 0.75)]",0.5625,0.703125,0.6875,0.6875,0.6875,0.703125,0.8125,0.5625
"[(0, 0.25, 0.5), (1, 0.5, 0.5), (2, 0.5, 0.5)]",0.375,0.5,0.5,0.5,0.5,0.5,0.625,0.5
"[(0, 0.25, 0.5), (1, 0.5, 0.5), (2, 0.75, 0.5)]",0.46875,0.625,0.625,0.625,0.625,0.625,0.75,0.625
"[(0, 0.25, 0.5), (1, 0.5, 0.5), (2, 0.25, 0.75)]",0.421875,0.4375,0.4375,0.4375,0.4375,0.4375,0.5625,0.4375
"[(0, 0.25, 0.5), (1, 0.5, 0.5), (2, 0.5, 0.75)]",0.5625,0.625,0.625,0.625,0.625,0.625,0.75,0.625
"[(0, 0.25, 0.5), (1, 0.5, 0.5), (2, 0.75, 0.75)]",0.703125,0.8125,0.8125,0.8125,0.8125,0.8125,0.9375,0.8125
"[(0, 0.25, 0.5), (1, 0.75, 0.5), (2, 0.75, 0.5)]",0.53125,0.75,0.75,0.75,0.75,0.75,0.875,0.75
"[(0, 0.25, 0.5), (1, 0.75, 0.5), (2, 0.25, 0.75)]",0.3125,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875,0.5625
"[(0, 0.25, 0.5), (1, 0.75, 0.5), (2, 0.5, 0.75)]",0.546875,0.75,0.75,0.75,0.75,0.75,0.875,0.75
